ID_HH,ID_HS,car_numb,car_a_numb,car_b_numb,car_c_numb,car_1,car_2,car_3,car_a6_r,car_a7,car_a8,car_a10,car_a11,car_a12_r,car_a13_g,car_a15_r,car_a17,car_a20_r,car_a27,car_a28,car_a29,car_a31_r,car_a32,car_a33,car_a34_r,car_a35,car_a36,car_b6_r,car_b7,car_b8,car_b10,car_b11,car_b12_r,car_b13_g,car_b15_r,car_b17,car_b20_r,car_b27,car_b28,car_b29,car_b31_r,car_b32,car_b33,car_b34_r,car_b35,car_b36
HH17110108,HS1122000024,1,1,0,0,2,-7,0,1,2014,5,2014,1,1,2,5,1,11952,50,0,50,9,4,1,20,1328,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17110113,HS1124000025,1,1,0,0,2,-7,0,1,2008,2,2008,1,1,2,5,1,11952,80,0,20,10,3,1,20,1139,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17110115,HS1124000027,1,1,0,0,2,-7,0,1,2014,6,2014,1,1,3,5,1,13200,20,20,60,9,3,2,21,1400,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17110117,HS1124000029,1,1,0,0,1,1,0,1,2012,8,2012,1,2,2,5,1,12228,60,30,10,13,4,1,7,913,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17110118,HS1124000030,1,1,0,0,2,-7,0,1,2017,1,2017,1,1,2,5,1,11952,80,0,20,10,2,1,10,1139,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17110119,HS1124000031,1,1,0,0,2,-7,0,1,2016,1,2016,1,2,2,5,1,12228,60,30,10,16,4,1,31,764,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17110120,HS1124000032,1,1,0,0,2,-7,0,2,2005,9,2005,1,2,2,7,1,12626,70,0,30,12,3,1,19,1027,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17110122,HS1124000034,1,1,0,0,2,-7,0,2,2016,5,2004,2,3,2,7,1,10581,100,0,0,10,4,1,34,1086,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17110123,HS1124000035,1,1,0,0,2,-7,0,1,2002,3,2002,1,1,1,5,1,10797,70,0,30,12,2,1,10,906,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17210002,HS2105000054,1,1,0,0,2,-7,0,1,2015,9,2015,1,1,2,5,1,11952,70,10,20,10,2,1,10,1195,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17210003,HS2105000055,1,1,0,0,1,1,0,1,2017,5,2017,1,1,1,5,1,10797,80,0,20,10,4,1,27,1080,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17210004,HS2105000058,0,0,0,0,-7,-7,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17210005,HS2105000059,0,0,0,0,-7,-7,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17210006,HS2105000060,0,0,0,0,-7,-7,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17210007,HS2105000061,0,0,0,0,-7,-7,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
