ID_HH,s12_car_numb,s12_car_a_numb,s12_car_b_numb,s12_car_c_numb,s12_car_1,s12_car_2,s12_car_3,s12_car_a6_r,s12_car_a7,s12_car_a8,s12_car_a10,s12_car_a11,s12_car_a12_r,s12_car_a13_g,s12_car_a15_r,s12_car_a17,s12_car_a20_r,s12_car_a29,s12_car_a30,s12_car_a31,s12_car_a33_r,s12_car_a34,s12_car_a35,s12_car_a36_r,s12_car_a37,s12_car_a38,s12_car_b6_r,s12_car_b7,s12_car_b8,s12_car_b10,s12_car_b11,s12_car_b12_r,s12_car_b13_g,s12_car_b15_r,s12_car_b17,s12_car_b20_r,s12_car_b29,s12_car_b30,s12_car_b31,s12_car_b33_r,s12_car_b34,s12_car_b35,s12_car_b36_r,s12_car_b37,s12_car_b38
HH17380012,1,1,0,0,0,-7,-7,1,2018,10,2018,1,1,3,5,1,12000,30,60,10,9.978661088,4,1,4,1202.566145,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17380015,1,1,0,0,0,-7,-7,2,2014,3,2014,1,1,2,5,1,10521.71739,70,10,20,10.86829268,3,1,4,968.1113399,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17380016,1,1,0,0,0,-7,-7,2,2017,3,2017,1,2,2,5,1,11396.05,70,20,10,11.30514019,3,1,4,1008.041458,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17380018,1,1,0,0,0,-7,-7,2,2020,7,2018,2,2,2,5,1,11396.05,70,20,10,11.30514019,4,1,4,1008.041458,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17380019,1,1,0,0,0,-7,-7,2,2015,10,2015,1,2,1,5,1,10479.6875,80,10,10,11.67708333,4,1,4,897.4576271,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17380020,1,1,0,0,0,-7,-7,1,2008,3,2008,1,1,1,5,1,10000,0,80,20,11.97303103,4,1,4,835.2103973,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17380021,1,1,0,0,0,-7,-7,1,2005,3,2005,1,1,3,5,1,15000,0,0,100,9.978661088,4,1,4,1503.207682,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17380022,1,1,0,0,1,3,-7,1,2011,3,2011,1,2,2,5,1,14116.39216,0,0,100,11.59428571,4,1,4,1217.530127,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17380023,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17380028,1,1,0,0,1,1,-7,1,2010,8,2010,1,1,1,5,2,10000,80,0,20,16,4,1,4,625,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17380029,1,1,0,0,1,1,-7,1,2009,4,2009,1,1,2,5,1,9000,80,0,20,11,4,1,4,818.1818182,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17380030,1,1,0,0,1,1,-7,2,2008,7,2008,1,2,3,7,1,11000,70,0,30,10,4,1,4,1100,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17380031,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17380032,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17390001,1,1,0,0,1,1,-7,1,2016,7,2016,1,1,2,5,1,3900,0,0,100,12,4,1,4,325,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17390002,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17390003,1,1,0,0,1,2,-7,2,2020,10,2012,2,2,2,5,1,6459,90,0,10,10.7,2,2,2,603.6448598,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17390004,1,1,0,0,0,-7,-7,1,2015,8,2015,1,1,1,5,1,6000,0,0,100,11.97303103,4,2,3,501.1262384,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17390006,1,1,0,0,0,-7,-7,2,2020,9,2008,2,2,2,5,1,15000,80,0,20,12.6,4,1,4,1190.476191,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17390007,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17390008,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17390009,1,1,0,0,0,-7,-7,1,2020,1,2013,2,1,1,5,1,2500,95,0,5,14.4,4,2,4,173.6111111,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17390010,0,0,0,0,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17390013,1,1,0,0,0,-7,-7,1,2011,3,2011,1,3,3,5,1,2000,90,0,10,12,4,2,4,166.6666667,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
HH17390014,2,1,0,1,1,1,-7,1,2015,7,2015,1,1,1,5,1,13000,0,0,100,12,3,1,3,1083.333333,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
