"","가구ID","광역시도","주택종류","외벽수","주택방향","준공년도","난방기기","난방연료","취사설비","냉방만족도","난방만족도","가구원수","교육정도","출생년도","세후소득","연도","전기소비량","지역난방소비량","도시가스소비량","등유소비량","프로판소비량","기타석유소비량","연탄소비량","기타연료소비량","석유소비량"
"46","HH19110033",11,6,2,3,1999,5,4,2,3,3,4,3,1969,4000,2019,3141.58,0,8715.63,0,0,0,0,0,0
"47","HH19110034",11,6,3,1,1999,5,4,2,3,3,4,2,1958,11000,2019,3141.58,0,9497.67,0,0,0,0,0,0
"48","HH19110035",11,6,2,6,1999,5,4,2,3,3,4,2,1960,6500,2019,3141.58,0,7449.96,0,0,0,0,0,0
"49","HH19110036",11,6,2,3,1999,5,4,2,3,3,4,2,1964,4500,2019,2790.7,0,10454.64,0,0,0,0,0,0
"50","HH19110037",11,6,2,6,1999,5,4,2,3,3,3,2,1959,7800,2019,3141.58,0,4116,0,0,0,0,0,0
"51","HH19110038",11,6,3,1,1997,5,4,2,3,3,6,3,1971,-9,2019,3141.58,0,7666.05,0,0,0,0,0,0
"52","HH19110039",11,6,1,5,1997,5,4,2,3,3,3,1,1954,3200,2019,2790.7,0,5453.7,0,0,0,0,0,0
"53","HH19110040",11,6,3,3,1997,5,4,2,3,3,3,3,1957,-9,2019,3141.58,0,8026.2,0,0,0,0,0,0
"54","HH19110041",11,6,3,3,1997,5,4,2,3,3,4,3,1961,10000,2019,3141.58,0,16412.55,0,0,0,0,0,0
"55","HH19110042",11,6,4,3,1997,5,4,2,3,3,4,3,1973,6800,2019,2790.7,0,5145,0,0,0,0,0,0
"56","HH19110043",11,6,3,1,1997,5,4,3,3,3,4,4,1961,6000,2019,3141.58,0,11751.18,0,0,0,0,0,0
"57","HH19110044",11,6,3,1,1997,5,4,2,3,3,3,3,1966,5000,2019,2790.7,0,8077.65,0,0,0,0,0,0
"58","HH19110046",11,6,2,3,1997,5,4,2,3,3,5,3,1973,8000,2019,2790.7,0,12234.81,0,0,0,0,0,0
"59","HH19110047",11,6,2,5,1997,5,4,2,3,3,4,3,1975,5800,2019,2790.7,0,6678.21,0,0,0,0,0,0
"60","HH19110048",11,6,2,1,1999,5,4,2,2,2,3,2,1963,4300,2019,3112.34,0,7583.73,0,0,0,0,0,0
"61","HH19110049",11,6,2,2,1989,5,4,2,3,3,4,3,1974,6500,2019,2951.52,0,7223.58,0,0,0,0,0,0
"62","HH19110050",11,6,2,3,1990,5,4,3,3,3,3,4,1968,9000,2019,3943.96,0,5618.34,0,0,0,0,0,0
"63","HH19110052",11,6,3,3,1999,5,4,3,2,2,2,2,1957,8000,2019,2790.7,0,8767.08,0,0,0,0,0,0
"64","HH19110053",11,6,2,6,2016,5,4,2,3,3,4,2,1978,2500,2019,3238.76,0,10125.36,0,0,0,0,0,0
"65","HH19110054",11,5,2,1,2008,5,4,2,3,3,2,4,1984,11000,2019,1690.76,0,6575.31,0,0,0,0,0,0
"66","HH19110055",11,6,2,3,2016,5,4,3,3,3,3,2,1965,7000,2019,3141.58,0,5587.47,0,0,0,0,0,0
"67","HH19110056",11,7,5,3,1998,5,4,2,3,3,4,3,1965,6800,2019,3011.72,0,17029.95,0,0,0,0,0,0
"68","HH18110200",11,6,2,5,1983,5,4,3,3,3,4,3,1969,7000,2019,3795.18,0,3941.07,0,0,0,0,0,0
"69","HH18110045",11,2,4,1,2002,5,4,2,3,3,3,2,1968,2800,2019,2893.04,0,10403.19,0,0,0,0,0,0
"70","HH18110120",11,1,5,3,1984,5,4,2,3,3,4,2,1968,-9,2019,4445.34,0,12090.75,0,0,0,0,0,0
"71","HH18110121",11,7,4,7,1996,20,6,4,2,2,4,3,1972,2500,2019,3679.08,0,7501.41,0,0,0,0,0,0
"72","HH18110126",11,5,5,8,1997,5,4,2,3,3,4,3,1968,4300,2019,2598.06,0,9909.27,0,0,0,0,0,0
"73","HH18110128",11,5,3,6,2003,5,4,2,3,3,4,3,1969,3000,2019,2076.9,0,3076.71,0,0,0,0,0,0
"74","HH18110130",11,5,3,3,1986,5,4,2,3,3,4,2,1973,3800,2019,3952.56,0,13469.61,0,0,0,0,0,0
"75","HH18110003",11,5,5,3,2017,5,4,3,1,1,3,2,1955,7500,2019,2975.6,0,771.75,0,0,0,0,0,0
"76","HH18110009",11,3,5,1,1987,5,4,2,3,3,6,3,1969,3500,2019,2803.6,0,10444.35,0,0,0,0,0,0
"77","HH18110012",11,2,4,1,1976,5,4,2,3,3,4,2,1969,3000,2019,2294.48,0,6657.63,0,0,0,0,0,0
"78","HH18110023",11,2,4,3,1984,5,4,2,4,3,1,2,1942,-9,2019,3113.2,0,11298.42,0,0,0,0,0,0
"79","HH18110034",11,8,5,6,2016,5,4,2,3,3,3,3,1981,2340,2019,3500.2,0,7048.65,0,0,0,0,0,0
"80","HH18110039",11,2,5,1,1993,5,4,2,3,3,4,3,1970,5200,2019,2987.64,0,15774.57,0,0,0,0,0,0
"81","HH18110116",11,5,3,2,2006,5,4,2,3,3,4,3,1966,4600,2019,2860.36,0,11679.15,0,0,0,0,0,0
"82","HH19110059",11,2,3,4,2001,5,4,2,4,4,3,2,1957,6000,2019,2298.78,0,9826.95,0,0,0,0,0,0
"83","HH19110062",11,2,4,1,1995,5,4,2,3,3,4,2,1971,-9,2019,3034.94,0,10423.77,0,0,0,0,0,0
"84","HH19110065",11,7,4,1,1976,5,4,2,3,3,2,2,1954,2500,2019,4962.2,0,8890.56,0,0,0,0,0,0
"85","HH19110066",11,2,4,6,1992,5,4,2,3,3,4,3,1978,2500,2019,2896.48,0,4476.15,0,0,0,0,0,0
"86","HH19110067",11,3,2,1,1990,5,4,2,3,3,4,1,1963,4200,2019,3331.64,0,10300.29,0,0,0,0,0,0
"87","HH19110068",11,5,3,3,1996,5,4,2,3,3,2,2,1965,5500,2019,1654.64,0,843.78,0,0,0,0,0,0
"88","HH19110069",11,2,4,2,1995,5,4,2,1,1,4,2,1963,7700,2019,3371.2,0,12080.46,0,0,0,0,0,0
"89","HH19110070",11,4,2,4,2014,5,4,2,1,1,4,2,1968,3200,2019,3959.44,0,9981.3,0,0,0,0,0,0
"90","HH19110071",11,4,4,6,1977,5,4,2,3,3,4,3,1969,6500,2019,4116.82,0,6997.2,0,0,0,0,0,0
"91","HH19110072",11,2,3,3,1972,5,4,2,3,3,3,3,1961,5500,2019,2131.08,0,4496.73,0,0,0,0,0,0
"92","HH19110073",11,2,4,2,1993,5,4,2,2,2,2,2,1962,1000,2019,1568.64,0,7933.59,0,0,0,0,0,0
"93","HH19110074",11,1,5,3,1987,5,4,2,3,3,6,2,1968,4000,2019,3708.32,0,18089.82,0,0,0,0,0,0
"94","HH19110075",11,5,4,5,2002,5,4,2,3,3,2,3,1971,8900,2019,2656.54,0,5422.83,0,0,0,0,0,0
"95","HH19110076",11,2,5,3,1989,5,4,2,2,2,4,2,1974,3000,2019,3602.54,0,13932.66,0,0,0,0,0,0
"96","HH19110078",11,5,3,4,2002,5,4,2,4,4,4,2,1956,5500,2019,3718.64,0,10660.44,0,0,0,0,0,0
"97","HH19110079",11,2,5,2,1994,5,4,2,1,1,4,2,1969,2000,2019,3739.28,0,9291.87,0,0,0,0,0,0
"98","HH19110080",11,2,5,1,1988,5,4,2,3,3,4,2,1966,5000,2019,3808.08,0,13521.06,0,0,0,0,0,0
"99","HH19110081",11,2,4,3,1997,5,4,2,3,3,4,2,1962,5000,2019,2317.7,0,3601.5,0,0,0,0,0,0
"100","HH19110083",11,2,5,1,1992,5,4,2,4,4,3,2,1957,5500,2019,2223.96,0,10886.82,0,0,0,0,0,0
"101","HH19110084",11,7,3,5,1990,5,4,2,2,2,3,2,1968,3200,2019,2566.24,0,7882.14,0,0,0,0,0,0
"102","HH19110085",11,5,4,4,2016,5,4,2,3,3,3,2,1961,11000,2019,3472.68,0,4342.38,0,0,0,0,0,0
"103","HH19110086",11,3,5,1,1991,5,4,2,3,3,5,3,1972,6000,2019,2813.92,0,23461.2,0,0,0,0,0,0
"104","HH19110087",11,5,2,2,1997,5,4,2,3,3,3,3,1966,4000,2019,2702.12,0,1080.45,0,0,0,0,0,0
"105","HH19110088",11,3,5,1,1977,5,4,2,3,3,3,2,1965,2500,2019,2801.88,0,7285.32,0,0,0,0,0,0
"106","HH19110089",11,3,5,1,1977,5,4,2,3,3,2,1,1941,1600,2019,3457.2,0,15867.18,0,0,0,0,0,0
"107","HH19110090",11,2,4,3,1974,5,4,2,3,3,3,4,1959,-9,2019,2650.52,0,12348,0,0,0,0,0,0
"108","HH19110091",11,2,4,3,1974,5,4,2,3,3,1,3,1992,-9,2019,2131.08,0,123.48,0,0,0,0,0,0
"109","HH19110092",11,2,5,3,1996,5,4,2,4,4,3,4,1961,7500,2019,2414.02,0,1142.19,0,0,0,0,0,0
"110","HH19110093",11,2,5,3,1994,5,4,2,3,3,4,3,1973,7500,2019,4346.44,0,7275.03,0,0,0,0,0,0
"111","HH19110094",11,5,3,3,1997,5,4,2,3,3,2,3,1968,4000,2019,3087.4,0,7913.01,0,0,0,0,0,0
"112","HH18110006",11,4,2,3,1995,5,4,2,1,1,3,3,1965,550,2019,2950.66,0,8478.96,438.5,0,0,0,0,438.5
"113","HH18110026",11,2,5,3,1989,5,4,3,3,3,4,3,1963,7000,2019,2848.32,0,8211.42,0,0,0,0,0,0
"114","HH13110105",11,6,3,3,2010,5,4,2,2,2,5,3,1976,4700,2019,2099.26,0,6554.73,0,0,0,0,0,0
"115","HH13110110",11,6,2,4,2003,5,4,2,3,3,4,3,1974,6200,2019,2914.54,0,6112.26,0,0,0,0,0,0
"116","HH13110118",11,6,3,3,2000,5,4,2,3,2,4,2,1966,5000,2019,2994.52,0,12224.52,0,0,0,0,0,0
"117","HH17110013",11,6,2,3,2010,5,4,2,3,3,4,3,1971,3200,2019,3277.46,0,7141.26,0,0,0,0,0,0
