"","가구ID","광역시도","주택종류","외벽수","주택방향","준공년도","난방기기","난방연료","취사설비","냉방만족도","난방만족도","가구원수","교육정도","출생년도","세후소득","연도","전기소비량","지역난방소비량","도시가스소비량","등유소비량","프로판소비량","기타석유소비량","연탄소비량","기타연료소비량","석유소비량"
"4939","HH17360037",36,6,3,4,2002,5,4,2,1,1,2,3,1970,-9,2019,3443.44,0,3498.6,0,0,0,0,0,0
"4940","HH17360038",36,1,3,3,1978,3,2,3,1,2,2,3,1972,-9,2019,1648.62,0,0,5262,0,0,0,9060,5262
"4941","HH17360039",36,6,4,3,1997,5,4,2,3,3,2,1,1945,1000,2019,2518.94,0,4290.93,0,0,0,0,0,0
"4942","HH17360043",36,6,3,3,2002,5,4,2,3,3,1,1,1953,770,2019,1072.42,0,3004.68,0,0,0,0,0,0
"4943","HH17360044",36,6,4,3,2016,5,4,2,2,2,5,3,1969,8600,2019,3333.36,0,5937.33,0,0,0,0,0,0
"4944","HH17360045",36,6,4,3,1998,5,4,2,1,1,2,2,1967,5200,2019,3458.92,0,12337.71,0,0,0,0,0,0
"4945","HH17360063",36,6,4,3,2001,5,4,3,2,2,2,3,1954,4700,2019,3191.46,0,8170.26,0,0,0,0,0,0
"4946","HH18360075",36,6,2,3,1998,5,4,2,1,1,3,4,1963,5600,2019,2846.6,0,7182.42,0,0,0,0,0,0
"4947","HH18360060",36,1,4,3,1999,3,2,1,2,2,3,2,1963,5900,2019,3501.92,0,0,10524,1204,0,0,0,11728
"4948","HH19360126",36,1,6,6,2003,3,2,1,2,3,1,1,1961,3500,2019,3018.6,0,0,7016,722.4,0,0,0,7738.4
"4949","HH19360127",36,7,2,6,2010,5,4,4,1,2,2,2,1969,1320,2019,3124.38,0,4723.11,0,0,0,0,0,0
"4950","HH19360130",36,6,4,5,2004,5,4,2,1,3,3,3,1968,4500,2019,3207.8,0,11627.7,0,0,0,0,0,0
"4951","HH17360049",36,6,3,3,1991,5,4,2,2,2,3,3,1966,3900,2019,3559.54,0,11205.81,0,0,0,0,0,0
"4952","HH17360050",36,6,4,6,1989,5,4,2,4,3,2,2,1969,1800,2019,1813.74,0,2160.9,0,0,0,0,0,0
"4953","HH17360052",36,6,4,3,2013,5,4,2,3,3,2,1,1945,1800,2019,2862.94,0,6729.66,0,0,0,0,0,0
"4954","HH17360053",36,6,4,3,1995,5,4,2,3,3,3,3,1968,5000,2019,1984.88,0,5813.85,0,0,0,0,0,0
"4955","HH17360054",36,6,3,1,2001,5,4,2,2,2,4,3,1971,2400,2019,3435.7,0,6935.46,0,0,0,0,0,0
"4956","HH18360061",36,4,4,3,2012,5,4,2,3,3,4,2,1973,3300,2019,3469.24,0,8818.53,0,0,0,0,0,0
"4957","HH18360064",36,6,2,6,2013,5,4,2,2,2,5,2,1975,18800,2019,3943.96,0,11905.53,0,0,0,0,0,0
"4958","HH18360073",36,8,2,3,2013,5,4,2,2,2,1,3,1986,2200,2019,1901.46,0,2757.72,0,0,0,0,0,0
"4959","HH12360022",36,1,6,4,1981,3,2,1,3,3,2,1,1963,-9,2019,3445.16,0,0,7016,1444.8,0,0,0,8460.8
"4960","HH18360049",36,1,5,3,1980,3,2,3,3,3,5,3,1974,5000,2019,2823.38,0,0,8770,0,0,0,0,8770
"4961","HH18360051",36,1,6,3,1977,3,2,1,2,2,2,1,1952,1800,2019,4516.72,0,0,8770,1444.8,0,0,0,10214.8
"4962","HH18360066",36,1,6,1,1976,3,2,1,2,3,3,1,1952,2800,2019,4589.82,0,0,7016,1444.8,0,0,0,8460.8
"4963","HH18360067",36,1,5,3,1978,3,2,1,3,3,4,3,1981,5000,2019,3853.66,0,0,7016,1204,0,0,0,8220
"4964","HH18360068",36,1,5,3,1978,3,2,1,3,3,1,1,1945,950,2019,2449.28,0,0,7016,2167.2,0,0,0,9183.2
"4965","HH18360071",36,1,6,3,1978,20,6,1,5,4,1,1,1936,380,2019,2291.04,0,0,1754,963.2,0,0,0,2717.2
"4966","HH18360072",36,1,6,3,1976,3,2,1,2,2,1,1,1949,650,2019,3342.82,0,0,8770,1444.8,0,0,0,10214.8
"4967","HH19360131",36,6,2,3,2005,4,3,1,2,2,1,1,1937,930,2019,3187.16,0,0,0,2327.7333333,0,0,0,2327.7333333
"4968","HH19360132",36,6,2,3,2005,4,3,1,2,2,1,2,1958,1980,2019,2902.5,0,0,0,2327.7333333,0,0,0,2327.7333333
"4969","HH19360133",36,6,2,3,2005,4,3,1,2,2,4,3,1980,3450,2019,3756.48,0,0,0,3010,0,0,0,3010
"4970","HH19360134",36,6,2,3,2005,4,3,1,2,2,2,1,1935,1450,2019,3595.66,0,0,0,2327.7333333,0,0,0,2327.7333333
"4971","HH19360135",36,6,2,3,2005,4,3,1,2,2,5,3,1986,3560,2019,3659.3,0,0,0,3010,0,0,0,3010
"4972","HH12370036",37,1,6,2,1970,3,2,1,3,3,2,2,1956,4500,2019,2782.96,0,0,1403.2,722.4,0,0,0,2125.6
"4973","HH13370024",37,5,4,3,1993,5,4,2,2,3,3,1,1947,3000,2019,2185.26,0,9250.71,0,0,0,0,0,0
"4974","HH16370004",37,1,5,3,1989,5,4,2,2,2,4,2,1996,3600,2019,3376.36,0,6698.79,0,0,0,0,0,0
"4975","HH14370024",37,1,5,3,1985,5,4,2,2,2,2,1,1954,1600,2019,3777.12,0,5865.3,0,0,0,0,0,0
"4976","HH11370079",37,5,4,5,1994,5,4,2,3,3,2,1,1949,1400,2019,2314.26,0,6081.39,0,0,0,0,0,0
"4977","HH17370001",37,2,4,5,1995,5,4,2,3,3,2,2,1950,2400,2019,2040.78,0,4733.4,0,0,0,0,0,0
"4978","HH12370037",37,1,6,6,1978,5,4,2,3,3,1,1,1950,2000,2019,3976.64,0,5916.75,0,0,0,0,0,0
"4979","HH11370084",37,5,5,3,1993,5,4,2,3,3,2,1,1954,1600,2019,1824.92,0,4723.11,0,0,0,0,0,0
"4980","HH12370038",37,5,3,4,1992,5,4,2,3,3,2,2,1959,2800,2019,3347.98,0,7419.09,0,0,0,0,0,0
"4981","HH14370025",37,5,3,6,1993,5,4,2,2,2,4,2,1970,2600,2019,3138.14,0,5865.3,0,0,0,0,0,0
"4982","HH11370085",37,5,4,3,1992,5,4,2,3,3,2,1,1934,900,2019,2106.14,0,6071.1,0,0,0,0,0,0
"4983","HH11370077",37,6,4,3,2015,5,4,2,2,2,2,-8,1961,1800,2019,2900.78,0,9353.61,0,0,0,0,0,0
"4984","HH18370025",37,1,6,3,1979,5,4,2,3,3,3,2,1984,8000,2019,3832.16,0,18727.8,0,0,0,0,0,0
"4985","HH18370002",37,1,5,5,1989,5,4,2,3,3,2,2,1959,2300,2019,1705.38,0,4980.36,0,0,0,0,0,0
"4986","HH18370005",37,3,5,4,1978,5,4,2,3,3,2,3,1960,8000,2019,2392.52,0,4486.44,0,0,0,0,0,0
"4987","HH19370001",37,6,3,3,1986,5,4,2,3,3,2,3,1989,7000,2019,1757.84,0,8139.39,0,0,0,0,0,0
"4988","HH19370002",37,6,2,5,1995,1,5,2,3,2,2,2,1960,7000,2019,2838,1215,1296.54,0,0,0,0,0,0
"4989","HH19370004",37,6,3,3,1995,1,5,2,3,3,2,3,1961,3500,2019,3269.72,5085,1543.5,0,0,0,0,0,0
"4990","HH19370005",37,6,3,3,1995,5,4,2,3,3,1,1,1949,-9,2019,1245.28,0,5597.76,0,0,0,0,0,0
"4991","HH19370006",37,6,3,5,1995,1,5,2,2,2,2,1,1942,-9,2019,1933.28,1275,864.36,0,0,0,0,0,0
"4992","HH19370007",37,1,6,3,2015,3,2,1,3,3,4,2,1965,9000,2019,3390.98,0,0,10524,963.2,0,0,0,11487.2
"4993","HH19370008",37,4,3,5,1992,5,4,2,3,3,2,2,1964,4500,2019,1947.9,0,4836.3,0,0,0,0,0,0
"4994","HH19370009",37,1,5,3,1988,5,4,2,2,2,6,3,1976,8000,2019,6463.76,0,26177.76,0,0,0,0,0,0
"4995","HH19370010",37,3,4,5,1984,5,4,2,3,3,1,2,1949,4500,2019,2842.3,0,8005.62,0,0,0,0,0,0
"4996","HH19370011",37,1,5,3,1975,5,4,2,3,3,4,2,1966,8000,2019,2558.5,0,7388.22,0,0,0,0,0,0
"4997","HH19370012",37,5,5,5,2012,5,4,2,3,3,1,1,1950,-9,2019,1824.92,0,4723.11,0,0,0,0,0,0
"4998","HH19370013",37,1,5,6,1991,5,4,2,3,3,1,1,1954,5500,2019,2275.56,0,9765.21,0,0,0,0,0,0
"4999","HH19370014",37,7,3,3,2015,5,4,2,3,3,1,3,1972,6000,2019,2510.34,0,6492.99,0,0,0,0,0,0
"5000","HH19370015",37,1,5,3,2015,5,4,2,3,3,3,3,1969,7000,2019,2738.24,0,27906.48,0,0,0,0,0,0
"5001","HH19370016",37,7,4,6,2011,5,4,2,3,3,1,3,1967,8500,2019,3880.32,0,9127.23,0,0,0,0,0,0
"5002","HH19370017",37,1,6,3,1986,3,2,1,3,3,2,1,1941,-9,2019,553.84,0,0,3508,481.6,0,0,0,3989.6
"5003","HH19370019",37,1,6,3,1990,5,4,2,3,3,1,3,1959,8000,2019,2033.04,0,8540.7,0,0,0,0,0,0
"5004","HH19370021",37,6,4,5,1995,1,5,2,3,3,1,1,1945,1300,2019,1737.2,1270,1543.5,0,0,0,0,0,0
"5005","HH19370022",37,6,2,3,1995,1,5,2,3,3,4,2,1976,8000,2019,2503.46,2230,1543.5,0,0,0,0,0,0
"5006","HH19370023",37,6,2,3,1998,1,5,2,3,3,2,3,1964,8000,2019,2831.98,2355,987.84,0,0,0,0,0,0
"5007","HH19370024",37,6,2,3,1995,5,4,2,3,3,2,3,1962,8000,2019,2011.54,0,1296.54,0,0,0,0,0,0
"5008","HH12370041",37,1,6,3,1978,5,4,2,3,3,1,2,1957,3500,2019,2352.1,0,3827.88,0,0,0,0,0,0
"5009","HH18370026",37,6,2,6,2015,5,4,2,3,3,4,2,1989,5000,2019,3124.38,0,9240.42,0,0,0,0,0,0
"5010","HH18370006",37,6,2,6,2015,5,4,2,3,3,3,2,1958,5000,2019,1274.52,0,5752.11,0,0,0,0,0,0
"5011","HH18370008",37,6,2,3,2014,5,4,2,3,3,3,2,1976,5000,2019,2862.08,0,8129.1,0,0,0,0,0,0
"5012","HH18370024",37,6,4,5,1998,5,4,2,3,3,3,2,1958,6000,2019,3184.58,0,4743.69,0,0,0,0,0,0
"5013","HH18370004",37,6,2,5,1999,5,4,2,3,3,2,3,1959,7000,2019,2638.48,0,8077.65,0,0,0,0,0,0
"5014","HH19370025",37,6,2,5,1994,5,4,2,3,3,3,2,1960,8000,2019,2823.38,0,7738.08,0,0,0,0,0,0
"5015","HH19370026",37,6,3,3,2016,5,4,2,3,3,2,3,1986,6000,2019,1677.86,0,2881.2,0,0,0,0,0,0
"5016","HH19370027",37,6,2,3,1989,5,4,2,3,3,1,2,1958,1900,2019,1247,0,3694.11,0,0,0,0,0,0
"5017","HH19370028",37,1,6,5,1970,5,4,2,3,3,1,2,1961,5500,2019,3277.46,0,12275.97,0,0,0,0,0,0
"5018","HH19370029",37,3,3,3,2017,5,4,2,3,3,1,2,1950,-9,2019,3279.18,0,10619.28,0,0,0,0,0,0
"5019","HH19370032",37,4,4,5,2015,5,4,2,3,3,2,2,1965,6500,2019,2425.2,0,4383.54,0,0,0,0,0,0
"5020","HH12370043",37,1,5,2,1975,5,4,2,3,3,2,2,1948,2500,2019,2777.8,0,7861.56,0,0,0,0,0,0
"5021","HH14370002",37,1,5,3,2010,3,2,1,2,2,1,3,1951,1600,2019,3255.1,0,0,3508,722.4,0,0,0,4230.4
"5022","HH12370008",37,6,3,5,1996,5,4,2,2,2,2,2,1969,6300,2019,2777.8,0,7161.84,0,0,0,0,0,0
"5023","HH13370003",37,6,2,5,1996,5,4,2,2,3,3,3,1961,4500,2019,2777.8,0,3889.62,0,0,0,0,0,0
"5024","HH13370004",37,6,2,5,1996,5,4,2,2,2,4,3,1964,5500,2019,2777.8,0,13850.34,0,0,0,0,0,0
"5025","HH11370003",37,6,2,5,1996,5,4,2,2,2,2,2,1937,1000,2019,2777.8,0,5618.34,0,0,0,0,0,0
"5026","HH13370005",37,6,2,5,1996,20,6,3,2,3,3,2,1963,6000,2019,2777.8,0,8057.07,0,0,0,0,0,0
"5027","HH14370003",37,6,2,5,1996,5,4,2,2,2,3,3,1973,4300,2019,2777.8,0,15826.02,0,0,0,0,0,0
"5028","HH13370006",37,6,2,5,1996,5,4,2,2,2,4,3,1977,4500,2019,2777.8,0,10598.7,0,0,0,0,0,0
"5029","HH12370009",37,6,3,3,1996,5,4,2,2,2,2,2,1963,7000,2019,2777.8,0,13037.43,0,0,0,0,0,0
"5030","HH14370004",37,6,2,3,1996,5,4,2,2,2,2,2,1963,5000,2019,2777.8,0,3992.52,0,0,0,0,0,0
"5031","HH16370001",37,6,2,5,1996,20,6,2,2,2,2,2,1957,4500,2019,2777.8,0,11565.96,0,0,0,0,0,0
"5032","HH12370011",37,1,4,3,1999,6,6,1,2,2,3,3,1961,8000,2019,9232.1,0,0,0,481.6,0,0,0,481.6
"5033","HH17370009",37,6,2,5,1996,5,4,2,2,2,2,2,1966,2500,2019,2777.8,0,9137.52,0,0,0,0,0,0
"5034","HH17370011",37,6,2,5,1996,5,4,2,2,2,2,3,1979,3600,2019,2777.8,0,4609.92,0,0,0,0,0,0
"5035","HH18370019",37,2,2,5,1994,5,4,2,3,4,4,3,1970,-9,2019,3545.78,0,10989.72,0,0,0,0,0,0
"5036","HH18370020",37,1,6,3,1979,6,6,1,2,2,2,3,1961,4000,2019,15076.66,0,0,0,1926.4,0,0,0,1926.4
"5037","HH18370007",37,6,2,1,2010,5,4,2,2,2,4,2,1968,12000,2019,2855.2,0,8869.98,0,0,0,0,0,0
"5038","HH18370010",37,1,5,3,1992,3,2,1,2,2,3,1,1936,1600,2019,2480.24,0,0,3508,1204,0,0,0,4712
"5039","HH19370033",37,3,4,3,1974,5,4,2,3,3,2,1,1954,1700,2019,2985.92,0,5587.47,0,0,0,0,0,0
"5040","HH19370034",37,3,4,3,1973,5,4,2,2,2,2,3,1967,3000,2019,3142.44,0,5052.39,0,0,0,0,0,0
"5041","HH19370036",37,1,4,3,1976,5,4,2,2,2,2,1,1938,600,2019,2801.02,0,6534.15,0,0,0,0,0,0
"5042","HH19370037",37,3,4,4,1983,5,4,2,2,3,1,1,1954,700,2019,2938.62,0,5494.86,0,0,0,0,0,0
"5043","HH19370039",37,8,4,3,1989,5,4,2,3,3,2,2,1962,1700,2019,2686.64,0,7058.94,0,0,0,0,0,0
"5044","HH19370040",37,3,4,3,2003,5,4,2,3,3,2,1,1954,1600,2019,2740.82,0,6318.06,0,0,0,0,0,0
"5045","HH19370035",37,6,4,5,1993,5,4,2,3,3,1,3,1961,700,2019,2169.78,0,637.98,0,0,0,0,0,0
"5046","HH16370002",37,1,6,3,1991,3,2,1,4,4,1,1,1945,500,2019,2312.54,0,0,3508,481.6,0,0,0,3989.6
"5047","HH11370032",37,1,6,3,1952,6,6,1,3,3,1,1,1943,900,2019,16254,0,0,0,1484.9333333,0,0,0,1484.9333333
"5048","HH17370012",37,1,6,3,1960,3,2,1,4,3,1,1,1943,600,2019,1689.9,0,0,3508,722.4,0,0,0,4230.4
"5049","HH18370021",37,1,6,3,1953,7,1,1,3,3,1,1,1952,1800,2019,4191.64,0,0,0,963.2,0,23839.2,0,963.2
"5050","HH18370014",37,1,6,6,2001,3,2,1,4,4,2,1,1945,750,2019,3412.48,0,0,1754,722.4,0,0,0,2476.4
"5051","HH19370041",37,6,2,3,1999,5,4,2,3,3,1,3,1977,2500,2019,2753.72,0,8170.26,0,0,0,0,0,0
"5052","HH19370042",37,6,2,5,1999,5,4,2,1,1,2,3,1968,4800,2019,2777.8,0,3550.05,0,0,0,0,0,0
"5053","HH19370043",37,6,5,3,1999,5,4,2,3,3,2,2,1965,7200,2019,2855.2,0,10166.52,0,0,0,0,0,0
"5054","HH19370045",37,6,2,5,1992,5,4,2,1,1,3,3,1968,4010,2019,3900.1,0,7511.7,0,0,0,0,0,0
"5055","HH19370046",37,6,2,5,1979,5,4,2,3,3,3,2,1968,2900,2019,2302.22,0,8468.67,0,0,0,0,0,0
"5056","HH19370047",37,6,3,5,2009,5,4,2,3,3,1,1,1953,1400,2019,1793.1,0,2047.71,0,0,0,0,0,0
"5057","HH19370048",37,6,3,3,1999,5,4,2,3,3,3,1,1953,2530,2019,2777.8,0,5916.75,0,0,0,0,0,0
"5058","HH19370049",37,1,6,3,1979,3,2,1,3,3,2,1,1953,1800,2019,2360.7,0,0,7016,2167.2,0,0,0,9183.2
"5059","HH19370050",37,1,6,3,1999,3,2,1,3,3,1,1,1949,500,2019,2005.52,0,0,7016,722.4,0,0,0,7738.4
"5060","HH19370051",37,1,6,1,1953,3,2,1,2,4,1,2,1956,600,2019,1414.7,0,0,7016,1204,0,0,0,8220
"5061","HH19370053",37,1,6,5,2012,3,2,1,3,3,1,1,1944,360,2019,1189.38,0,0,7016,2167.2,0,0,0,9183.2
"5062","HH19370054",37,1,6,5,1996,6,6,1,3,3,2,1,1946,1000,2019,4374.82,0,0,0,1204,0,0,0,1204
"5063","HH19370055",37,3,3,5,1980,0,7,1,3,3,2,1,1939,1000,2019,1793.1,0,0,0,481.6,0,0,0,481.6
"5064","HH19370058",37,1,6,5,2013,3,2,1,3,3,1,1,1947,360,2019,2809.62,0,0,3508,481.6,0,0,0,3989.6
"5065","HH19370059",37,3,5,5,2003,3,2,1,3,3,1,1,1947,1500,2019,4785.9,0,0,7016,1204,0,0,0,8220
"5066","HH19370060",37,1,6,3,1945,20,6,1,3,3,1,1,1953,760,2019,1581.54,0,0,1754,963.2,0,0,0,2717.2
"5067","HH19370062",37,1,6,5,2011,20,6,1,3,3,1,1,1951,400,2019,3091.7,0,0,5262,481.6,0,0,0,5743.6
"5068","HH19370063",37,1,6,5,2005,10,7,1,3,3,2,2,1953,4900,2019,3365.18,0,0,0,481.6,0,0,1120,481.6
"5069","HH19370064",37,3,2,3,1986,5,4,2,3,3,4,3,1961,2300,2019,4561.44,0,9188.97,0,0,0,0,0,0
"5070","HH19370066",37,1,6,5,1995,3,2,1,3,3,1,1,1941,1000,2019,1272.8,0,0,7016,2167.2,0,0,0,9183.2
"5071","HH15370005",37,1,6,3,1995,7,1,1,3,3,2,2,1966,2400,2019,2272.12,0,0,0,1926.4,0,30650.4,0,1926.4
"5072","HH14370014",37,6,3,6,1983,5,4,2,3,3,2,2,1960,3500,2019,2289.32,0,15373.26,0,0,0,0,0,0
"5073","HH11370057",37,1,6,1,1982,6,6,1,3,3,1,1,1936,200,2019,19114.36,0,0,0,1444.8,0,0,0,1444.8
"5074","HH11370059",37,1,6,3,1994,6,6,1,3,3,2,1,1946,1200,2019,12340.14,0,0,0,1685.6,0,0,0,1685.6
"5075","HH11370060",37,1,6,3,1993,20,6,1,3,3,1,1,1956,1200,2019,13088.34,0,0,0,1685.6,0,0,0,1685.6
"5076","HH14370015",37,6,2,4,2008,5,4,2,3,3,3,2,1970,3400,2019,2518.94,0,3292.8,0,0,0,0,0,0
"5077","HH14370016",37,6,3,3,1993,5,4,2,4,2,2,2,1970,2000,2019,2579.14,0,637.98,0,0,0,0,0,0
"5078","HH15370006",37,1,6,3,1999,16,3,4,2,2,4,4,1977,5000,2019,4203.68,0,0,0,2408,0,0,0,2408
"5079","HH14370017",37,5,5,6,2010,5,4,2,3,3,5,2,1969,5500,2019,2180.1,0,3745.56,0,0,0,0,0,0
"5080","HH14370018",37,6,2,3,1998,5,4,2,3,2,4,3,1967,5000,2019,2942.06,0,9178.68,0,0,0,0,0,0
"5081","HH18370027",37,1,6,5,1979,4,3,0,3,3,3,2,1973,3000,2019,2539.58,0,0,0,2408,0,0,0,2408
"5082","HH18370028",37,1,6,7,1975,6,6,1,3,3,3,1,1936,4200,2019,14320.72,0,0,0,1444.8,0,0,0,1444.8
"5083","HH18370003",37,6,2,3,2009,5,4,2,2,2,4,3,1966,-8,2019,3381.52,0,12656.7,0,0,0,0,0,0
"5084","HH11370004",37,6,2,3,1997,5,4,2,3,3,3,3,1968,9500,2019,948.58,0,7943.88,0,0,0,0,0,0
"5085","HH13370010",37,6,2,5,1997,5,4,2,3,3,5,2,1968,400,2019,2698.68,0,6554.73,0,0,0,0,0,0
"5086","HH11370006",37,6,2,5,1997,5,4,2,3,3,5,2,1972,5350,2019,3180.28,0,7676.34,0,0,0,0,0,0
"5087","HH11370007",37,6,3,5,1997,5,4,2,3,3,4,2,1977,4700,2019,3114.06,0,10825.08,0,0,0,0,0,0
"5088","HH11370008",37,6,3,5,1997,5,4,2,3,4,2,1,1945,2300,2019,2989.36,0,9734.34,0,0,0,0,0,0
"5089","HH11370009",37,6,2,5,1997,5,4,2,3,3,2,2,1979,2900,2019,3079.66,0,8170.26,0,0,0,0,0,0
"5090","HH11370010",37,6,2,2,1986,5,4,2,3,3,4,2,1974,4700,2019,2379.62,0,7347.06,0,0,0,0,0,0
"5091","HH11370013",37,6,2,2,1986,5,4,2,3,3,1,3,1962,3100,2019,3399.58,0,6153.42,0,0,0,0,0,0
"5092","HH11370014",37,6,2,3,2005,5,4,2,4,4,4,3,1968,6350,2019,2874.12,0,11319,0,0,0,0,0,0
"5093","HH13370012",37,1,6,3,1968,3,2,1,5,4,1,1,1938,1200,2019,2493.14,0,0,5262,963.2,0,0,0,6225.2
"5094","HH12370013",37,1,6,2,1947,7,1,0,4,3,1,1,1946,600,2019,835.92,0,0,0,0,0,34056,0,0
"5095","HH12370015",37,1,6,5,1984,5,4,2,3,3,1,1,1938,960,2019,2222.24,0,5381.67,0,0,0,0,0,0
"5096","HH12370016",37,1,6,3,1983,5,4,2,3,3,2,1,1943,1800,2019,2684.06,0,8159.97,0,0,0,0,0,0
"5097","HH14370008",37,1,6,5,1973,5,4,2,4,4,1,1,1946,600,2019,1758.7,0,2675.4,0,0,0,0,0,0
"5098","HH14370009",37,1,5,3,1980,3,2,1,3,3,2,3,1959,3500,2019,2977.32,0,0,5551.41,1444.8,0,0,0,6996.21
"5099","HH13370015",37,1,4,6,1989,5,4,2,3,4,1,1,1944,960,2019,3281.76,0,7264.74,0,0,0,0,0,0
"5100","HH12370017",37,1,5,2,1993,5,4,2,3,4,2,1,1947,2400,2019,3395.28,0,10217.97,0,0,0,0,0,0
"5101","HH11370019",37,6,2,3,1995,5,4,2,3,3,4,3,1981,6350,2019,2379.62,0,8839.11,0,0,0,0,0,0
"5102","HH11370020",37,6,2,3,1995,5,4,2,3,3,3,2,1974,5350,2019,2955.82,0,9652.02,0,0,0,0,0,0
"5103","HH13370017",37,3,5,6,1990,5,4,2,3,3,2,1,1953,2450,2019,1808.58,0,5556.6,0,0,0,0,0,0
"5104","HH11370027",37,4,2,1,2001,5,4,2,3,3,4,3,1972,6800,2019,3218.12,0,10063.62,0,0,0,0,0,0
"5105","HH17370014",37,6,2,2,1986,5,4,2,3,3,3,2,1968,5850,2019,3181.14,0,8602.44,0,0,0,0,0,0
"5106","HH14370006",37,6,2,3,2005,5,4,2,3,3,3,3,1970,7300,2019,2518.94,0,9549.12,0,0,0,0,0,0
"5107","HH17370018",37,1,5,2,1986,6,6,1,4,4,4,3,1964,4400,2019,8642.14,0,0,0,2408,0,0,0,2408
"5108","HH13370013",37,1,4,1,1993,5,4,2,4,4,4,2,1969,3400,2019,2964.42,0,8520.12,0,0,0,0,0,0
"5109","HH14370010",37,1,6,3,1979,4,3,1,3,5,3,2,1964,5800,2019,3523.42,0,0,0,13846,0,0,0,13846
"5110","HH17370019",37,3,4,3,2001,6,6,2,3,3,2,2,1960,4000,2019,20105.94,0,1162.77,0,0,0,0,0,0
"5111","HH17370020",37,1,5,2,1997,5,4,2,3,3,5,2,1970,4880,2019,3344.54,0,7172.13,0,0,0,0,0,0
"5112","HH13370016",37,6,3,1,1992,5,4,2,3,3,2,2,1941,1200,2019,2817.36,0,8756.79,0,0,0,0,0,0
"5113","HH18370015",37,6,2,3,2010,5,4,2,3,3,2,3,1963,8500,2019,2630.74,0,7110.39,0,0,0,0,0,0
"5114","HH18370011",37,6,2,3,2016,5,4,2,3,3,4,2,1964,8300,2019,2960.12,0,8489.25,0,0,0,0,0,0
"5115","HH18370012",37,6,4,3,2011,5,4,2,3,3,3,3,1969,4700,2019,3055.58,0,10670.73,0,0,0,0,0,0
"5116","HH18370016",37,6,2,3,2003,5,4,2,3,3,2,3,1967,2700,2019,3723.8,0,8931.72,0,0,0,0,0,0
"5117","HH19370067",37,6,3,3,1999,5,4,2,3,3,2,2,1951,-9,2019,2968.72,0,4116,0,0,0,0,0,0
"5118","HH19370068",37,6,2,5,2016,5,4,2,3,3,2,2,1958,2900,2019,2239.44,0,5947.62,0,0,0,0,0,0
"5119","HH19370069",37,6,3,3,1999,5,4,2,3,3,2,1,1969,300,2019,2967,0,4116,0,0,0,0,0,0
"5120","HH19370070",37,6,2,3,1999,5,4,2,3,3,4,2,1964,12000,2019,3553.52,0,10619.28,0,0,0,0,0,0
"5121","HH19370071",37,6,2,3,1997,5,4,2,3,3,2,3,1962,5800,2019,2805.32,0,10711.89,0,0,0,0,0,0
"5122","HH19370073",37,6,2,3,1999,5,4,2,3,3,2,2,1940,-8,2019,2793.28,0,2623.95,0,0,0,0,0,0
"5123","HH19370078",37,1,5,5,1994,5,4,2,3,3,2,2,1963,-9,2019,4042,0,7758.66,0,0,0,0,0,0
"5124","HH19370079",37,1,6,5,1980,5,4,2,2,2,2,3,1956,-8,2019,3207.8,0,9024.33,0,0,0,0,0,0
"5125","HH19370080",37,6,2,3,2011,5,4,2,2,2,3,2,1965,-8,2019,3997.28,0,9425.64,0,0,0,0,0,0
"5126","HH19370081",37,6,3,5,2013,5,4,2,3,3,4,2,1972,-8,2019,2732.22,0,4671.66,0,0,0,0,0,0
"5127","HH19370082",37,6,2,5,2004,5,4,2,2,2,1,1,1947,-8,2019,2314.26,0,5072.97,0,0,0,0,0,0
"5128","HH19370083",37,6,3,5,1992,5,4,2,1,2,3,1,1948,-8,2019,3465.8,0,7501.41,0,0,0,0,0,0
"5129","HH19370084",37,6,2,1,1994,5,4,2,3,3,1,1,1960,2800,2019,2473.36,0,4116,0,0,0,0,0,0
"5130","HH19370086",37,6,3,1,1992,5,4,2,3,3,2,2,1956,800,2019,2967,0,10001.88,0,0,0,0,0,0
"5131","HH19370087",37,6,2,3,2001,20,6,2,2,2,2,1,1941,-9,2019,2485.4,0,6019.65,0,0,0,0,0,0
"5132","HH19370088",37,6,2,3,2001,5,4,2,1,3,1,1,1938,-8,2019,2193,0,2623.95,0,0,0,0,0,0
"5133","HH19370090",37,6,3,3,2015,5,4,2,3,3,4,3,1981,6120,2019,3421.94,0,7326.48,0,0,0,0,0,0
"5134","HH19370091",37,6,2,3,2001,5,4,2,3,3,2,3,1971,-8,2019,2055.4,0,3148.74,0,0,0,0,0,0
"5135","HH19370093",37,6,2,1,2001,5,4,2,2,2,2,3,1965,-9,2019,4289.68,0,4939.2,0,0,0,0,0,0
"5136","HH19370094",37,6,3,5,2001,5,4,2,2,2,4,3,1972,-9,2019,4242.38,0,8437.8,0,0,0,0,0,0
"5137","HH19370095",37,6,2,3,2001,5,4,2,2,2,2,1,1971,-8,2019,3526.86,0,8273.16,0,0,0,0,0,0
"5138","HH19370096",37,6,2,3,2001,5,4,2,2,2,1,1,1943,-9,2019,2055.4,0,1605.24,0,0,0,0,0,0
"5139","HH19370097",37,6,2,3,2001,5,4,2,2,2,1,1,1944,-9,2019,2732.22,0,4939.2,0,0,0,0,0,0
"5140","HH19370100",37,6,2,5,2002,5,4,2,2,2,2,1,1934,-9,2019,4004.16,0,9425.64,0,0,0,0,0,0
